kod,ad
761,Pazarlama Satış ve Dağıtım Giderleri Yansıtma Hesabı
762,Pazarlama Satış ve Dağıtım Giderleri Fark Hesabı
77,GENEL YÖNETİM GİDERLERİ
770,Genel Yönetim Giderleri
771,Genel Yönetim Giderleri Yansıtma Hesabı
772,Genel Yönetim Gider Farkları Hesabı
78,FİNANSMAN GİDERLERİ
780,Finansman Giderleri
781,Finansman Giderleri Yansıtma Hesabı
782,Finansman Giderleri Fark Hesabı
79,GİDER ÇEŞİTLERİ (7/B SEÇENEĞİ)
790,İlk Madde ve Malzeme Giderleri
791,İşçi Ücret ve Giderleri
792,Memur Ücret ve Giderleri
793,Dışarıdan Sağlanan Fayda ve Hizmetler
794,Çeşitli Giderler
795,Vergi Resim ve Harçlar
796,Amortismanlar ve Tükenme Payları
797,Finansman Giderleri
798,Gider Çeşitleri Yansıtma Hesabı
799,Üretim Maliyet Hesabı
9,NAZIM HESAPLAR
900,Borçlu Nazım Hesaplar
901,Alacaklı Nazım Hesaplar
283,Ertelenmiş Vergi Varlığı
483,Ertelenmiş Vergi Yükümlülüğü
549.90,Aktüeryal Kazanç/Kayıp Fonu (OCI)
648,Enflasyon Düzeltmesi Karları
658,Enflasyon Düzeltmesi Zararları (-)
698,Enflasyon Düzeltme Hesabı
